Id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179,feature_180,feature_181,feature_182,feature_183,feature_184,feature_185,feature_186,feature_187,feature_188,feature_189,feature_190,feature_191,feature_192,feature_193,feature_194,feature_195,feature_196,feature_197,feature_198,feature_199,feature_200,feature_201,feature_202,feature_203,feature_204,feature_205,feature_206,feature_207,feature_208,feature_209,feature_210,feature_211,feature_212,feature_213,feature_214,feature_215,feature_216,feature_217,feature_218,feature_219,feature_220,feature_221,feature_222,feature_223,feature_224,feature_225,feature_226,feature_227,feature_228,feature_229,feature_230,feature_231,feature_232,feature_233,feature_234,feature_235,feature_236,feature_237,feature_238,feature_239,feature_240,feature_241,feature_242,feature_243,feature_244,feature_245,feature_246,feature_247,feature_248,feature_249,feature_250,feature_251,feature_252,feature_253,feature_254,feature_255,feature_256,feature_257,feature_258,feature_259,feature_260,feature_261,feature_262,feature_263,feature_264,feature_265,feature_266,feature_267,feature_268,feature_269,feature_270,feature_271,feature_272,feature_273,feature_274,feature_275,feature_276,feature_277,feature_278,feature_279,feature_280,feature_281,feature_282,feature_283,feature_284,feature_285,Energy_consumption
0,4,10,MT,A,2,1,0,0,-2,10,0,-2,2,1,8,-2,3,1,0,2,5,2,1,0,0,30,1,1,3,4,1,0,-2,-2,-2,0,-2,-2,0,0,0,1,4,23,2,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,-2,-2,14,0,0,-2,-2,0,-2,-2,1,25,1,2,3,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,4,3,1,2,3,1,1,2,2,1,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,1,-2,3,1,2,1,1,1,65,60,55,0,-2,-2,0,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,-2,1,-2,2,1,0,-2,1,4,0,2,2,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,0,0,1,1,-2,-2,1,0,-2,2,36,1,1,1,1,6,4,2,1,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,969,1938,1938,969,4730.230819242254,330,411,0,MR,3C,2469,2042,155,385.82403034495,0.09141136446736052,0.0,11.708434342415115,16.0067133950293,7.585198328142682,56.02913715828246,18.494269462130454,32.59165229338086,4.943409895035964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3889845296483427,-0.3889845296483427,1,1,-2,-2,1119.2802284681218
1,3,7,MC,B,2,0,-2,0,-2,10,1,1,1,4,8,-2,3,1,1,3,6,1,5,0,0,30,2,2,1,4,1,0,-2,-2,-2,0,-2,-2,0,0,0,1,3,22,2,0,-2,-2,-2,-2,1,1,3,2,0,-2,-2,-2,-2,-2,1,1,6,2,1,5,1,15,1,2,3,1,0,1,1,0,0,0,0,1,4,1,3,1,2,3,3,3,2,1,5,3,2,1,3,3,2,3,-2,-2,-2,-2,0,1,0,0,1,0,0,0,0,1,2,0,3,0,1,1,1,-2,3,1,2,1,1,4,70,68,70,1,4,7,-2,-2,0,0,-2,1,1,0,2,1,1,4,-2,-2,-2,72,75,70,-2,-2,0,0,4,0,0,0,0,-2,1,-2,3,2,0,-2,1,7,0,1,0,0,2,1,0,-2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,-2,-2,0,-2,-2,1,31,1,0,1,2,4,2,2,0,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,1,7,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1478,1478,1478,250,250,3262.9460247666057,2519,3069,584,HH,3A,2253,1884,437,184.1102677278571,0.09724613241208567,2.185315087564389,13.149622024762225,18.94354659387429,5.737521812313055,89.44874302301983,41.852984959778254,38.71368531325131,8.882072749990257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3889845296483427,0.0,2,1,-2,-2,1972.9659044299165
2,4,9,MT,A,2,0,-2,1,0,10,1,2,1,5,5,-2,3,2,0,4,7,4,7,0,1,30,2,3,3,3,0,0,-2,-2,-2,0,-2,-2,1,0,0,1,3,21,2,1,-2,-2,-2,-2,1,1,3,3,1,5,-2,-2,4,0,0,-2,-2,0,-2,-2,1,6,1,2,4,1,1,1,0,0,0,0,0,1,2,2,2,1,1,1,3,3,3,1,5,1,3,3,3,3,4,4,2,3,2,2,1,1,0,0,1,1,0,1,0,1,1,2,2,0,1,1,1,-2,4,5,3,1,0,1,74,68,65,0,-2,-2,-2,0,0,0,-2,1,1,1,3,1,0,1,-2,-2,-2,74,68,65,-2,0,0,0,7,0,0,0,0,-2,5,-2,3,2,0,-2,2,8,0,2,3,1,2,1,0,-2,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,-2,-2,-2,1,-9,-9,2,85,0,0,1,5,2,2,0,0,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,1796,1796,1796,400,400,2654.504160392963,4726,4705,1819,HD,2B,911,757,50,78.95413490537236,0.08363167387439369,0.045900174498504434,13.785611730737267,21.06351228045776,8.090878216685528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3889845296483427,-0.3889845296483427,1,-2,-2,-2,2915.897078997989
3,3,7,MT,C,2,0,-2,0,-2,10,0,-2,1,1,2,-2,4,1,0,4,8,3,5,0,0,42,2,2,2,3,0,0,-2,-2,-2,0,-2,-2,0,1,0,1,3,21,41,1,-2,-2,-2,-2,1,1,3,3,1,2,-2,-2,2,0,0,-2,-2,0,-2,-2,1,20,1,2,5,0,1,1,0,0,0,0,0,0,-2,-2,-2,1,2,4,3,3,3,1,5,5,3,2,3,3,5,5,1,5,1,2,1,1,1,1,0,1,0,0,0,2,1,1,2,0,1,1,1,-2,7,2,41,0,-2,2,70,68,68,0,-2,-2,-2,-2,-2,0,-2,1,2,-2,-2,-2,-2,-2,2,3,1,70,80,80,-2,-2,-2,0,5,2,0,1,0,-2,5,-2,5,2,1,5,2,3,0,1,0,0,1,1,0,-2,0,0,0,0,0,0,-8,-2,-8,-8,-8,-8,-8,-8,-2,1,-2,1,-2,1,0,-2,1,62,1,0,1,2,2,2,0,5,1,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,-2,-2,-2,0,628,2511,2511,1883,0,2906.022167969293,1073,1390,25,MH,4A,4400,3866,1423,598.3437831956737,0.0855765965226354,1.2459174484636422,11.152186465017989,17.990534496235853,3.1507746901515765,0.0,0.0,0.0,0.0,0.0,0.0,124.07070006890021,123.23982911357136,0.0,0.8306764630640359,0.0,0.0,-0.3889845296483427,-0.3889845296483427,5,-2,-2,1,2539.8744863388542
4,4,10,MT,A,5,-2,-2,-2,-2,-2,-2,-2,2,8,8,0,3,2,0,2,5,4,-2,1,1,20,1,3,2,3,1,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,4,22,3,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,-2,-2,7,6,1,1,1,1,5,10,1,15,0,-2,3,1,0,0,0,0,0,0,0,1,19,2,3,0,-2,-2,-2,-2,-2,1,5,9,3,3,2,1,3,3,1,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,-2,5,5,3,1,1,1,80,76,74,0,-2,-2,-2,-2,-2,0,-2,1,1,0,3,1,1,1,-2,-2,-2,74,74,74,-2,-2,-2,0,1,0,-2,-2,0,-2,1,2,3,-2,-2,-2,1,5,0,1,0,0,-2,-2,-9,-9,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,1,0,0,0,1,1,-2,-2,0,-2,-2,1,38,2,0,1,3,5,2,3,5,1,0,-2,-2,-2,-2,-2,-2,2,0,3,0,-2,-2,0,-2,-2,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-2,-2,-2,0,1318,1318,1318,0,0,3619.739569801564,1744,2114,230,HD,3B-4B,1531,1085,41,369.3330312105085,0.08752151917087711,0.007779690592966855,11.755112485972914,18.94354659387429,7.721342913519603,52.23809393232971,0.0,44.791179604477016,7.4469143278526975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3889845296483427,-0.3889845296483427,1,5,-2,-2,1600.5093274463316
5,3,5,MT,C,2,0,-2,0,-2,20,0,-2,1,7,7,-2,3,2,0,3,6,2,3,1,1,41,2,1,1,4,1,0,-2,-2,-2,0,-2,-2,0,1,0,2,4,21,3,1,1,-2,3,3,1,2,2,3,1,5,-2,-2,14,4,0,-2,-2,0,-2,-2,1,5,1,23,2,1,0,1,0,1,0,0,0,1,1,1,3,1,1,2,3,3,3,1,5,2,3,2,3,3,3,3,2,3,2,2,2,0,0,0,1,0,0,0,1,1,2,1,1,2,1,1,1,-2,9,1,3,0,-2,4,68,75,68,1,1,5,-2,-2,-2,0,-2,1,2,-2,-2,-2,-2,-2,3,2,1,72,83,72,-2,-2,-2,0,7,1,0,0,0,-2,5,-2,3,2,0,-2,2,10,4,4,4,0,1,1,-9,-9,0,0,1,0,0,0,0,1,0,0,1,1,0,1,-2,1,1,-2,-2,1,1,0,1,65,1,0,1,5,2,2,0,2,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,770,1540,1540,770,0,2292.2400050053234,2480,2878,249,HH,3A,1844,1420,343,158.14555037383022,0.07585198328142684,3.532757498266249,13.349949057531123,18.029432949200686,6.126506341961397,16.175143696367034,16.175143696367034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3889845296483427,-0.3889845296483427,1,1,-2,-2,256.768688020871
6,4,9,MT,A,2,0,-2,0,-2,20,0,-2,2,1,8,-2,3,2,1,3,6,4,5,0,1,30,1,1,2,4,1,0,-2,-2,-2,0,-2,-2,0,0,0,1,3,21,3,1,-2,-2,-2,-2,0,-2,-2,-2,1,1,-2,-2,20,1,0,-2,-2,0,-2,-2,1,0,1,2,3,0,1,0,0,0,0,1,0,1,3,2,3,1,1,3,3,3,3,1,1,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,-2,3,1,5,1,1,2,67,60,65,0,-2,-2,-2,-2,-2,1,1,1,1,0,3,1,1,2,-2,-2,-2,68,65,70,-2,-2,-2,0,0,0,0,0,0,-2,1,-2,3,2,0,-2,1,5,4,2,0,0,1,0,-9,-9,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-9,1,1,-2,-2,-9,-9,-9,1,32,0,1,1,3,3,2,1,5,2,0,-2,-2,-2,-2,-2,-2,3,0,0,-2,-2,-2,0,-2,-2,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-2,-2,-2,0,1957,1957,1957,0,0,3555.2068146117217,3656,4060,1542,HD,3B-4B,1921,1510,155,471.89269229759054,0.10697074565329426,0.0,12.264682219812247,20.674527750809414,6.5738385510569906,83.94441743623095,39.397520116373094,32.847993098419124,8.877793920164127,2.8211103012746057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3889845296483427,-0.3889845296483427,1,1,-2,-2,1182.477572538764
7,3,5,MT,A,4,-2,-2,-2,-2,-2,-2,-2,2,7,8,0,2,2,0,3,5,7,5,1,0,20,2,2,2,4,0,-2,-2,-2,-2,0,-2,-2,0,0,-2,1,3,22,1,0,-2,-2,-2,-2,0,-2,-2,-2,1,5,-2,-2,10,4,0,-2,-2,0,-2,-2,1,15,0,-2,2,1,0,1,0,0,1,0,0,1,5,2,42,1,1,15,3,3,42,1,5,15,42,3,3,3,4,4,2,3,2,2,2,1,0,2,1,0,0,0,0,2,2,1,2,0,1,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,1,1,0,42,1,1,2,-2,-2,-2,74,76,72,-2,-2,-2,0,0,2,-2,-2,0,-2,5,1,42,2,0,-2,1,10,2,4,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,1,0,1,0,0,1,-2,-2,-2,-9,-9,-9,1,34,2,1,1,3,5,2,3,5,2,0,-2,-2,-2,-2,-2,-2,2,0,3,0,-2,-2,1,4,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,1515,0,1515,0,1515,2532.340614519398,4111,5035,547,HH,1A-2A,196,94,44,0.0,0.07390706063318511,5.9580760406236655,15.53798703680305,17.659897646034754,9.70516401472615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3889845296483427,-0.3889845296483427,1,-2,-2,-2,3649.565857166615
8,4,10,MT,A,2,0,-2,1,0,10,1,2,1,6,8,-2,3,2,0,4,7,2,5,1,1,41,2,3,1,4,1,0,-2,-2,-2,0,-2,-2,1,0,0,2,4,21,3,1,3,22,41,4,0,-2,-2,-2,1,5,-2,-2,10,7,0,-2,-2,0,-2,-2,1,20,1,2,2,1,0,1,0,0,0,0,0,1,2,2,2,1,2,2,2,2,1,1,5,2,1,5,3,1,3,4,3,1,3,3,0,3,0,0,0,0,1,0,1,0,2,1,2,0,1,1,1,-2,4,5,42,1,1,3,68,66,66,1,1,5,-2,0,0,0,-2,1,1,1,42,1,1,3,-2,-2,-2,70,72,70,-2,0,0,0,0,1,0,0,0,-2,1,-2,42,3,0,-2,3,20,3,4,4,1,2,1,0,-2,0,0,0,0,0,0,1,0,1,-2,0,0,0,0,0,1,1,-2,-2,-9,-9,-9,2,28,1,0,1,2,2,2,0,1,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,2081,2081,2081,400,400,3890.238575402284,228,469,1,MR,4C,4856,4008,815,879.7118528715059,0.10891566830153596,0.07098967666082255,10.232238052399657,17.11531930452708,5.309638829699878,64.83983124708224,0.0,64.83983124708224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3889845296483427,-0.3889845296483427,1,1,-2,-2,2987.0866937070514
9,2,3,MT,C,2,1,1,1,1,10,0,-2,1,2,4,-2,3,1,0,2,5,3,5,0,0,42,2,3,2,3,1,0,-2,-2,-2,0,-2,-2,1,0,0,1,4,21,41,1,-2,-2,-2,-2,1,1,3,5,1,5,-2,-2,6,1,0,-2,-2,0,-2,-2,1,7,0,-2,3,0,0,0,0,0,0,0,0,1,2,1,3,1,1,2,2,3,42,1,5,3,42,2,3,3,2,3,1,3,2,2,0,2,0,0,1,1,0,0,1,1,0,2,0,1,1,1,1,-2,3,1,3,1,1,1,70,70,70,0,-2,-2,1,1,-2,0,-2,1,1,0,3,1,1,1,-2,-2,-2,76,76,76,1,1,-2,-2,4,1,0,0,0,-2,5,-2,41,3,0,-2,2,2,1,0,0,0,2,0,0,-2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,-2,-2,1,-9,-9,1,73,1,0,1,2,2,2,0,5,2,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,2400,2400,2400,0,0,3902.7770074297578,1091,1079,66,VC,5A,5235,5259,2385,952.5103075951934,0.10502582300505256,1.0206954057972513,10.031911019630758,17.173666983974332,1.7893288363823765,122.1498944614967,122.1498944614967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3889845296483427,-0.3889845296483427,1,1,-2,-2,2756.9463306477874
